gene_name,geneId,score,diseaseName,diseaseId,protein_id
GSTM1,2944,0.240121877751518,Drug-Induced Liver Injury,umls:C0860207,GSTM1
NAT2,10,0.235487742712823,Drug-Induced Liver Injury,umls:C0860207,NAT2
CYP2E1,1571,0.230853607674128,Drug-Induced Liver Injury,umls:C0860207,CYP2E1
MTHFR,4524,0.221585337596738,Drug-Induced Liver Injury,umls:C0860207,MTHFR
CYP2C9,1559,0.216951202558043,Drug-Induced Liver Injury,umls:C0860207,CYP2C9
GSTP1,2950,0.216951202558043,Drug-Induced Liver Injury,umls:C0860207,GSTP1
CYP2C19,1557,0.214634135038695,Drug-Induced Liver Injury,umls:C0860207,CYP2C19
HLA-DRB1,3123,0.212317067519348,Drug-Induced Liver Injury,umls:C0860207,HLA-DRB1
NR1I2,8856,0.212317067519348,Drug-Induced Liver Injury,umls:C0860207,NR1I2
KRT18,3875,0.212317067519348,Drug-Induced Liver Injury,umls:C0860207,KRT18
HLA-DQB1,3119,0.212317067519348,Drug-Induced Liver Injury,umls:C0860207,HLA-DQB1
HLA-B,3106,0.212317067519348,Drug-Induced Liver Injury,umls:C0860207,HLA-B
HLA-A,3105,0.212317067519348,Drug-Induced Liver Injury,umls:C0860207,HLA-A
ABCB1,5243,0.212317067519348,Drug-Induced Liver Injury,umls:C0860207,ABCB1
MED1,5469,0.21,Drug-Induced Liver Injury,umls:C0860207,MED1
MMP2,4313,0.21,Drug-Induced Liver Injury,umls:C0860207,MMP2
PON1,5444,0.21,Drug-Induced Liver Injury,umls:C0860207,PON1
NFE2L2,4780,0.21,Drug-Induced Liver Injury,umls:C0860207,NFE2L2
SELENBP1,8991,0.21,Drug-Induced Liver Injury,umls:C0860207,SELENBP1
TTR,7276,0.21,Drug-Induced Liver Injury,umls:C0860207,TTR
TF,7018,0.21,Drug-Induced Liver Injury,umls:C0860207,TF
TCTN1,79600,0.21,Drug-Induced Liver Injury,umls:C0860207,TCTN1
TBXA2R,6915,0.21,Drug-Induced Liver Injury,umls:C0860207,TBXA2R
TALDO1,6888,0.21,Drug-Induced Liver Injury,umls:C0860207,TALDO1
