gene_symbol,liver_tpm
MT-ND4,58775.3
MT-ATP6,51821.4
MT-CO2,49563.6
MT-CO3,44570.8
MT-CO1,40518.9
MT-CYB,31641.5
MT-ATP8,29932.5
MT-ND4L,26085.5
ALB,25201.3
MT-ND2,22892.2
MT-ND1,20800.2
MT-ND3,19264.4
MT-RNR2,18805.5
HP,12259.2
SAA1,8842.0
ORM1,8805.7
FTL,7717.98
APOC3,7599.74
FGB,7351.9
MT-ND5,6071.64
FGG,5968.07
APOA1,5952.22
SERPINA1,5944.31
CRP,5683.19
APOA2,5517.31
FGA,5497.68
MTATP6P1,5440.79
MT-ND6,5021.89
RBP4,4153.46
ORM2,3515.37
AMBP,3209.13
APOE,3181.76
APOH,2969.16
MT-RNR1,2946.71
APOC1,2897.34
TTR,2734.31
VTN,2575.54
CYP2E1,2550.87
ALDOB,2547.15
HPX,2000.55
SAA2,1946.79
APOC2,1789.45
MT2A,1741.53
AGXT,1731.68
APCS,1626.0
TF,1605.96
C3,1605.02
ITIH4,1601.43
SERPINA3,1424.47
AHSG,1346.28
C1R,1267.34
ATF5,1224.41
FGL1,1215.91
MT1G,1158.38
SERPINF2,1119.21
CFB,1114.93
SERPING1,1081.61
SERPINC1,1054.38
SAA4,1024.18
AGT,1007.43
HPD,1002.3
PEBP1,997.81
IGFBP4,991.901
IFITM3,991.255
GC,968.142
MT1X,903.2
RPL13A,896.365
AZGP1,826.578
RPS18,816.467
ADH1B,810.558
DCXR,801.933
ACTB,760.447
MTND2P28,754.912
CLU,751.291
MAT1A,749.275
HMGCS2,748.497
RPS12,743.801
LBP,742.103
FABP1,739.532
ANG,726.803
B2M,671.195
ITIH3,662.691
CYP2C8,662.587
RPL10,655.122
ECHS1,654.131
TMEM176B,642.254
NNMT,642.222
TMEM176A,621.873
ACADVL,615.998
LRG1,609.378
RPLP1,608.337
F2,599.629
C1S,598.723
HAMP,597.343
HRG,596.191
ASS1,595.492
RPL3,579.827
RPS11,578.446
PTMS,567.175
RPS16,553.561
ADH4,542.596
RARRES2,542.191
EEF1A1,535.109
RPLP0,534.648
PCK1,529.977
ITIH1,523.609
GAPDH,512.029
P4HB,511.24
CYP2A6,511.146
RPL19,493.418
HPN,492.49
EPHX1,488.404
TAT,473.997
HLA-B,467.872
CTSD,463.253
RPS25,449.786
RPL35,443.07
RPS27,442.737
EEF2,442.467
CYP2C9,433.761
TFR2,425.576
GSTA1,423.979
DUSP1,422.046
RIDA,420.246
DHCR24,419.48
MT1E,418.985
ACTG1,415.923
KNG1,414.391
RPL9,414.052
MLXIPL,413.917
FTH1,411.327
ASGR1,408.772
RPL8,408.362
C9,404.884
RPS2,403.831
CES1,403.205
CPB2,401.589
ARG1,400.933
C4BPA,398.358
A1BG,395.905
MST1,395.836
ASGR2,394.885
CALR,393.73
SDS,385.529
SLC22A1,384.488
ACSL1,384.185
IGFBP1,380.045
EEF1G,379.922
SOD1,378.478
F12,376.048
C8G,372.925
HBB,367.329
HLA-C,366.908
SULT2A1,365.799
HPR,364.585
RPS27A,355.609
RPL7A,350.422
HSP90B1,349.99
A2M,347.139
CPS1,347.112
APOB,347.037
PSAP,345.103
RPS7,342.844
FBP1,341.364
CYP3A4,335.297
RPL17,334.446
CFH,332.336
CYP27A1,332.028
RPL5,331.797
IFITM2,331.316
TPT1,328.277
TMBIM6,326.529
PLG,323.038
GATM,322.763
RPS13,316.291
APOC4,313.545
SLC25A47,313.331
CP,310.73
APOA5,309.171
RPS6,308.2
IGKC,307.971
BHMT,307.294
RPS28,306.318
GLUD1,306.21
ADH1A,306.119
XBP1,305.266
CREB3L3,304.814
RPL24,300.948
GPX3,300.727
CFHR2,298.707
CD81,296.666
C8B,295.259
PPIB,291.714
ECH1,290.96
HSD17B6,289.888
SDC1,289.522
OAZ1,288.625
UQCRQ,286.796
FTCD,281.446
PRAP1,281.371
SERPINF1,279.724
SLC39A14,276.377
C8A,274.073
ADH1C,273.715
AGPAT2,273.184
ENO1,272.603
RPLP2,271.423
AFM,270.537
ALDH4A1,268.216
RHOB,265.637
C4BPB,264.999
ITIH2,262.708
SLC13A5,261.798
INSIG1,259.05
CFI,256.365
CXCL2,256.133
ATP5B,255.066
RPL4,254.991
SLC27A5,254.459
COX6A1,253.082
PAH,252.492
RPSA,251.593
HLA-A,251.557
RPL18,251.236
AOX1,251.088
REEP6,250.471
SAT1,249.396
RDH16,247.567
RPL10A,244.67
VKORC1,244.214
RPL34,243.579
LDHA,243.011
RPL21,242.079
RPL11,242.059
PROC,241.554
SEPHS2,241.351
RPL29,240.795
HSD11B1,238.705
CTSZ,238.684
F9,235.26
RPL27,234.91
GPX1,234.88
TGM2,234.701
UBB,234.682
CYP4A11,234.467
RPS8,234.16
RPS3A,233.915
STARD10,233.586
CFHR1,233.393
FN1,229.162
HSPD1,226.467
GRINA,225.27
G0S2,225.0
TMSB4X,224.26
KRT18,223.371
HSPE1,221.595
BGN,221.24
ERRFI1,220.092
RPS17,219.589
COX8A,218.065
PRDX3,216.885
HSP90AB1,216.462
RPL41,216.257
GPX2,215.445
CYP2D6,215.318
CYP8B1,214.687
ECHDC2,214.591
RPL6,214.287
PFN1,213.061
SELENBP1,212.053
ALDH1A1,211.981
BAAT,210.565
ASL,210.521
SELENOP,210.504
HLA-E,210.361
RPS10,210.145
EDF1,207.699
BHMT2,207.367
GADD45B,206.221
COL18A1,205.421
RPL13,204.731
HGFAC,204.627
PRDX6,204.528
NUCB1,204.376
PGRMC1,203.929
EFNA1,203.761
PRDX1,202.92
CNBP,202.492
PLA2G2A,202.084
MST1P2,201.973
TST,201.218
APMAP,199.682
GPX4,198.257
SAT2,197.723
SLC22A7,197.432
CD14,195.769
SERPIND1,195.671
RPL38,195.146
PRDX2,195.096
GAMT,192.989
FURIN,192.923
ID2,191.556
ARL6IP4,190.098
RPS5,189.463
NDUFA1,188.551
HSPA5,188.32
GJB1,187.225
HGD,186.225
ACAA2,186.208
TMSB10,185.884
FAU,185.562
C2,184.917
IDH2,184.723
RPS15,184.44
HNRNPA2B1,184.122
EEF1B2,183.49
ALDH2,183.302
PSMB4,183.23
ACAA1,182.957
MT-TS1,182.933
CYB5A,181.416
OAF,181.405
HSP90AA1,181.363
RPL36AL,181.272
CAT,181.165
SHMT1,181.103
SERPINA6,180.708
ST6GAL1,179.488
GOT1,178.984
MT1H,178.778
GLYCTK,178.627
C3P1,178.286
CHCHD2,177.985
ZFP36,175.655
DBI,175.48
RPS14,175.467
PRDX5,175.229
TDO2,174.632
RPS26,174.207
SNRNP70,174.187
CALM2,173.942
RPS20,171.398
UGT2B4,169.87
SLC25A5,169.736
SLC9A3R1,169.096
G6PC,168.928
NDUFS5,168.473
HAAO,168.413
BTF3,168.361
HAO1,167.567
CTSB,166.971
HINT1,166.766
CTD-3128G10.7,166.168
ATF4,165.658
ACSM2A,165.649
APOF,164.744
IGFBP2,164.65
RNASE4,164.63
RPL36,164.444
LY6E,163.245
TPI1,163.133
C19orf43,162.533
NDUFB7,161.917
ATP5D,161.902
HSPA8,160.829
SLC38A3,160.726
RPS19,159.826
ANPEP,159.813
SCD,159.619
HSPB1,159.559
DHRS3,158.947
CYP3A5,155.853
EIF5A,155.648
ACADS,155.224
SERPINA11,154.968
AKR1C4,154.889
COX5B,154.842
GHITM,154.584
UBL5,154.034
PTP4A1,153.899
ACSM2B,153.412
FMO3,152.507
PCBD1,151.935
RPS9,151.774
EIF1,151.647
RPL7,150.257
STOM,149.648
POR,149.252
RPS4X,148.797
AUP1,148.396
CEBPB,148.352
RPL26,148.18
LINC01554,147.6
GOT2,147.413
PFDN5,147.397
GSTO1,147.022
