gene_name,geneId,score,diseaseName,diseaseId
IL1B,3553,0.31,Drug-Induced Liver Injury,umls:C0860207
GSTM1,2944,0.240121877751518,Drug-Induced Liver Injury,umls:C0860207
GSTT1,2952,0.235487742712823,Drug-Induced Liver Injury,umls:C0860207
NAT2,10,0.235487742712823,Drug-Induced Liver Injury,umls:C0860207
CYP2E1,1571,0.230853607674128,Drug-Induced Liver Injury,umls:C0860207
MTHFR,4524,0.221585337596738,Drug-Induced Liver Injury,umls:C0860207
CYP2C9,1559,0.216951202558043,Drug-Induced Liver Injury,umls:C0860207
GSTP1,2950,0.216951202558043,Drug-Induced Liver Injury,umls:C0860207
CYP2C19,1557,0.214634135038695,Drug-Induced Liver Injury,umls:C0860207
IL4,3565,0.214634135038695,Drug-Induced Liver Injury,umls:C0860207
HLA-DRB1,3123,0.212317067519348,Drug-Induced Liver Injury,umls:C0860207
TNF,7124,0.212317067519348,Drug-Induced Liver Injury,umls:C0860207
NR1I2,8856,0.212317067519348,Drug-Induced Liver Injury,umls:C0860207
KRT18,3875,0.212317067519348,Drug-Induced Liver Injury,umls:C0860207
IL6,3569,0.212317067519348,Drug-Induced Liver Injury,umls:C0860207
HLA-DQB1,3119,0.212317067519348,Drug-Induced Liver Injury,umls:C0860207
HLA-B,3106,0.212317067519348,Drug-Induced Liver Injury,umls:C0860207
HLA-A,3105,0.212317067519348,Drug-Induced Liver Injury,umls:C0860207
ABCB1,5243,0.212317067519348,Drug-Induced Liver Injury,umls:C0860207
MIR217,406999,0.21,Drug-Induced Liver Injury,umls:C0860207
MIR764,100313838,0.21,Drug-Induced Liver Injury,umls:C0860207
MIR744,100126313,0.21,Drug-Induced Liver Injury,umls:C0860207
MIR592,693177,0.21,Drug-Induced Liver Injury,umls:C0860207
MIR503,574506,0.21,Drug-Induced Liver Injury,umls:C0860207
MIR410,574434,0.21,Drug-Induced Liver Injury,umls:C0860207
MIR367,442912,0.21,Drug-Induced Liver Injury,umls:C0860207
MIR34C,407042,0.21,Drug-Induced Liver Injury,umls:C0860207
MIR337,442905,0.21,Drug-Induced Liver Injury,umls:C0860207
