test_compound,reference_drug,reference_ltkbid,reference_dilirank,reference_category,tanimoto_similarity
Hyperforin,Abacavir sulfate,LT00040,vMOST-DILI-concern,DILI_positive,0.06060606060606061
Hyperforin,Abemaciclib,LT03619,vLess-DILI-concern,DILI_positive,0.09345794392523364
Hyperforin,Abiraterone acetate,LT02339,vMost-DILI-concern,DILI_positive,0.10204081632653061
Hyperforin,Acamprosate calcium,LT01141,vLess-DILI-concern,DILI_positive,0.08333333333333333
Hyperforin,Acarbose,LT01034,vMost-DILI-concern,DILI_positive,0.09090909090909091
Hyperforin,Acebutolol hydrochloride,LT01035,vLess-DILI-concern,DILI_positive,0.12087912087912088
Hyperforin,Aceclofenac,LT01853,vLess-DILI-concern,DILI_positive,0.06976744186046512
Hyperforin,Acetaminophen,LT00004,vMost-DILI-concern,DILI_positive,0.1044776119402985
Hyperforin,Acetazolamide,LT00498,vMost-DILI-concern,DILI_positive,0.07894736842105263
Hyperforin,Acitretin,LT01042,vMost-DILI-concern,DILI_positive,0.07954545454545454
Hyperforin,Acyclovir,LT00041,vLess-DILI-concern,DILI_positive,0.06976744186046512
Hyperforin,Adefovir dipivoxil,LT01155,vLess-DILI-concern,DILI_positive,0.0707070707070707
Hyperforin,Alaproclate,LT02213,vMost-DILI-concern,DILI_positive,0.10126582278481013
Hyperforin,Alatrofloxacin mesylate,LT00461,vMost-DILI-concern,DILI_positive,0.09649122807017543
Hyperforin,Albendazole,LT00499,vMost-DILI-concern,DILI_positive,0.06666666666666667
Hyperforin,Alclofenac,LT00692,vMost-DILI-concern,DILI_positive,0.07317073170731707
Hyperforin,Alendronate sodium,LT00980,vLess-DILI-concern,DILI_positive,0.03896103896103896
Hyperforin,Alfuzosin hydrochloride,LT01107,vLess-DILI-concern,DILI_positive,0.0761904761904762
Hyperforin,Aliskiren hemifumarate,LT01244,vLess-DILI-concern,DILI_positive,0.07894736842105263
Hyperforin,Allopurinol,LT00043,vMost-DILI-concern,DILI_positive,0.05405405405405406
Hyperforin,Alosetron hydrochloride,LT01070,vLess-DILI-concern,DILI_positive,0.07368421052631578
Hyperforin,Alpelisib,LT03621,vLess-DILI-concern,DILI_positive,0.07476635514018691
Hyperforin,Alpidem,LT01060,vMost-DILI-concern,DILI_positive,0.06521739130434782
Hyperforin,Alprazolam,LT00501,vLess-DILI-concern,DILI_positive,0.03260869565217391
Hyperforin,Amiloride hydrochloride,LT02070,vLess-DILI-concern,DILI_positive,0.05063291139240506
Hyperforin,Amineptine,LT00045,vMost-DILI-concern,DILI_positive,0.08536585365853659
Hyperforin,Aminosalicylic acid ,LT00505,vMOST-DILI-concern,DILI_positive,0.07042253521126761
Hyperforin,Amiodarone hydrochloride,LT00046,vMost-DILI-concern,DILI_positive,0.058823529411764705
Hyperforin,Amisulpride,LT01793,vLess-DILI-concern,DILI_positive,0.10526315789473684
Hyperforin,Amitriptyline hydrochloride,LT00047,vLess-DILI-concern,DILI_positive,0.09090909090909091
Hyperforin,Amlodipine besylate,LT00175,vLess-DILI-concern,DILI_positive,0.0761904761904762
Hyperforin,Amoxicillin,LT00507,vLess-DILI-concern,DILI_positive,0.12222222222222222
Hyperforin,Amphetamine sulfate,LT02100,vLess-DILI-concern,DILI_positive,0.09722222222222222
Hyperforin,Amphotericin B,LT00048,vLess-DILI-concern,DILI_positive,0.1092436974789916
Hyperforin,Ampicillin sodium,LT00049,vLess-DILI-concern,DILI_positive,0.10869565217391304
Hyperforin,Anastrozole,LT00263,vLess-DILI-concern,DILI_positive,0.03529411764705882
Hyperforin,Anidulafungin,LT01203,vMost-DILI-concern,DILI_positive,0.1
Hyperforin,Apixaban,LT02418,vLess-DILI-concern,DILI_positive,0.08247422680412371
Hyperforin,Aplaviroc,LT00693,vMost-DILI-concern,DILI_positive,0.1111111111111111
Hyperforin,Aripiprazole,LT01143,vLess-DILI-concern,DILI_positive,0.08
Hyperforin,Aripiprazole lauroxil,LT03624,vLess-DILI-concern,DILI_positive,0.07894736842105263
Hyperforin,Aspirin,LT00053,vLess-DILI-concern,DILI_positive,0.08333333333333333
Hyperforin,Atazanavir sulfate,LT01199,vLess-DILI-concern,DILI_positive,0.07079646017699115
Hyperforin,Atenolol,LT00277,vLess-DILI-concern,DILI_positive,0.12345679012345678
Hyperforin,Atomoxetine hydrochloride,LT01139,vMost-DILI-concern,DILI_positive,0.04819277108433735
Hyperforin,Atorvastatin calcium,LT00258,vMost-DILI-concern,DILI_positive,0.08571428571428572
Hyperforin,Auranofin,LT02166,vLess-DILI-concern,DILI_positive,0.08536585365853659
Hyperforin,Azathioprine,LT00006,vMost-DILI-concern,DILI_positive,0.054945054945054944
Hyperforin,Azithromycin,LT00265,vLess-DILI-concern,DILI_positive,0.10743801652892562
Hyperforin,Baclofen,LT01113,vLess-DILI-concern,DILI_positive,0.0945945945945946
Hyperforin,Benazepril hydrochloride,LT01116,vLess-DILI-concern,DILI_positive,0.10101010101010101
Hyperforin,Bendazac,LT01117,vMost-DILI-concern,DILI_positive,0.07142857142857142
Hyperforin,Bendroflumethiazide,LT00825,vLess-DILI-concern,DILI_positive,0.06315789473684211
Hyperforin,Benoxaprofen,LT00513,vMost-DILI-concern,DILI_positive,0.09302325581395349
Hyperforin,Benzarone,LT01120,vMost-DILI-concern,DILI_positive,0.08641975308641975
Hyperforin,Benzbromarone,LT00278,vMost-DILI-concern,DILI_positive,0.08235294117647059
Hyperforin,Benziodarone,LT01121,vMost-DILI-concern,DILI_positive,0.08333333333333333
Hyperforin,Benzonatate,LT00800,vLess-DILI-concern,DILI_positive,0.08235294117647059
Hyperforin,Bexarotene,LT01064,vMost-DILI-concern,DILI_positive,0.11392405063291139
Hyperforin,Bicalutamide,LT00056,vMost-DILI-concern,DILI_positive,0.08333333333333333
Hyperforin,Bortezomib,LT01202,vMost-DILI-concern,DILI_positive,0.08333333333333333
Hyperforin,Bosentan,LT01140,vMost-DILI-concern,DILI_positive,0.056074766355140186
Hyperforin,Bosutinib monohydrate,LT02349,vMost-DILI-concern,DILI_positive,0.03636363636363636
Hyperforin,Bromfenac sodium,LT00519,vMost-DILI-concern,DILI_positive,0.07058823529411765
Hyperforin,Bromocriptine mesylate,LT00279,vLess-DILI-concern,DILI_positive,0.09923664122137404
Hyperforin,Bupropion hydrochloride,LT00058,vLess-DILI-concern,DILI_positive,0.0875
Hyperforin,Busulfan,LT00280,vMost-DILI-concern,DILI_positive,0.045454545454545456
Hyperforin,Canagliflozin,LT02899,vLess-DILI-concern,DILI_positive,0.07142857142857142
Hyperforin,Candesartan cilexetil,LT01022,vLess-DILI-concern,DILI_positive,0.08264462809917356
Hyperforin,Capecitabine,LT02018,vLess-DILI-concern,DILI_positive,0.10309278350515463
Hyperforin,Capmatinib hydrochloride,LT03646,vLess-DILI-concern,DILI_positive,0.05504587155963303
Hyperforin,Captopril,LT00059,vLess-DILI-concern,DILI_positive,0.11842105263157894
Hyperforin,Carbamazepine,LT00060,vMost-DILI-concern,DILI_positive,0.0547945205479452
Hyperforin,Carbenicillin disodium,LT01159,vLess-DILI-concern,DILI_positive,0.10869565217391304
Hyperforin,Carboplatin,LT00061,vLess-DILI-concern,DILI_positive,0.07575757575757576
Hyperforin,Carfilzomib,LT02395,vMost-DILI-concern,DILI_positive,0.1262135922330097
Hyperforin,Carvedilol,LT00207,vLess-DILI-concern,DILI_positive,0.0625
Hyperforin,Cefaclor,LT01166,vLess-DILI-concern,DILI_positive,0.09782608695652174
Hyperforin,Cefadroxil hemihydrate,LT01167,vLess-DILI-concern,DILI_positive,0.11827956989247312
Hyperforin,Cefazolin sodium,LT01171,vLess-DILI-concern,DILI_positive,0.10091743119266056
Hyperforin,Cefdinir,LT01289,vLess-DILI-concern,DILI_positive,0.08737864077669903
Hyperforin,Cefditoren pivoxil,LT01087,vLess-DILI-concern,DILI_positive,0.08870967741935484
Hyperforin,Cefepime hydrochloride,LT01172,vLess-DILI-concern,DILI_positive,0.08695652173913043
Hyperforin,Cefixime,LT01173,vLess-DILI-concern,DILI_positive,0.09259259259259259
Hyperforin,Cefoperazone sodium,LT01176,vLess-DILI-concern,DILI_positive,0.0967741935483871
Hyperforin,Cefotaxime sodium,LT01177,vLess-DILI-concern,DILI_positive,0.1
Hyperforin,Cefprozil,LT01182,vLess-DILI-concern,DILI_positive,0.125
Hyperforin,Ceftaroline fosamil,LT02387,vLess-DILI-concern,DILI_positive,0.07633587786259542
Hyperforin,Ceftazidime,LT00062,vLess-DILI-concern,DILI_positive,0.08547008547008547
Hyperforin,Ceftriaxone sodium,LT01185,vLess-DILI-concern,DILI_positive,0.08264462809917356
Hyperforin,Cefuroxime sodium,LT01186,vLess-DILI-concern,DILI_positive,0.09090909090909091
Hyperforin,Celecoxib,LT00252,vLess-DILI-concern,DILI_positive,0.03296703296703297
Hyperforin,Cephalexin,LT01189,vLess-DILI-concern,DILI_positive,0.10989010989010989
Hyperforin,Ceritinib,LT03596,vMost-DILI-concern,DILI_positive,0.08108108108108109
Hyperforin,Cetirizine hydrochloride,LT01190,vLess-DILI-concern,DILI_positive,0.07777777777777778
Hyperforin,Chlorambucil,LT00286,vLess-DILI-concern,DILI_positive,0.0625
Hyperforin,Chlorcyclizine hydrochloride,LT00066,vLess-DILI-concern,DILI_positive,0.05
Hyperforin,Chlordiazepoxide hydrochloride,LT01198,vLess-DILI-concern,DILI_positive,0.054945054945054944
Hyperforin,Chlormezanone,LT01201,vMost-DILI-concern,DILI_positive,0.075
