name,ltkbid,category,dilirank,smiles
Abacavir sulfate,LT00040,DILI_positive,vMOST-DILI-concern,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO.C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO.OS(=O)(=O)O
Abemaciclib,LT03619,DILI_positive,vLess-DILI-concern,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F
Abiraterone acetate,LT02339,DILI_positive,vMost-DILI-concern,CC(=O)OC1CCC2(C3CCC4(C(C3CC=C2C1)CC=C4C5=CN=CC=C5)C)C
Acamprosate calcium,LT01141,DILI_positive,vLess-DILI-concern,CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2]
Acarbose,LT01034,DILI_positive,vMost-DILI-concern,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)NC3C=C(C(C(C3O)O)O)CO
Acebutolol hydrochloride,LT01035,DILI_positive,vLess-DILI-concern,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C.Cl
Aceclofenac,LT01853,DILI_positive,vLess-DILI-concern,C1=CC=C(C(=C1)CC(=O)OCC(=O)O)NC2=C(C=CC=C2Cl)Cl
Acetaminophen,LT00004,DILI_positive,vMost-DILI-concern,CC(=O)NC1=CC=C(C=C1)O
Acetazolamide,LT00498,DILI_positive,vMost-DILI-concern,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
Acitretin,LT01042,DILI_positive,vMost-DILI-concern,CC1=CC(=C(C(=C1C=CC(=CC=CC(=CC(=O)O)C)C)C)C)OC
Acyclovir,LT00041,DILI_positive,vLess-DILI-concern,C1=NC2=C(N1COCCO)N=C(NC2=O)N
Adefovir dipivoxil,LT01155,DILI_positive,vLess-DILI-concern,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N=CN=C21)N)OCOC(=O)C(C)(C)C
Alaproclate,LT02213,DILI_positive,vMost-DILI-concern,CC(C(=O)OC(C)(C)CC1=CC=C(C=C1)Cl)N
Alatrofloxacin mesylate,LT00461,DILI_positive,vMost-DILI-concern,CC(C(=O)NC(C)C(=O)NC1C2C1CN(C2)C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F)N.CS(=O)(=O)O
Albendazole,LT00499,DILI_positive,vMost-DILI-concern,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
Alclofenac,LT00692,DILI_positive,vMost-DILI-concern,C=CCOC1=C(C=C(C=C1)CC(=O)O)Cl
Alendronate sodium,LT00980,DILI_positive,vLess-DILI-concern,C(CC(O)(P(=O)(O)O)P(=O)(O)[O-])CN.O.O.O.[Na+]
Alfuzosin hydrochloride,LT01107,DILI_positive,vLess-DILI-concern,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC.Cl
Aliskiren hemifumarate,LT01244,DILI_positive,vLess-DILI-concern,CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N.CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N.C(=CC(=O)O)C(=O)O
Allopurinol,LT00043,DILI_positive,vMost-DILI-concern,C1=NNC2=C1C(=O)NC=N2
Alosetron hydrochloride,LT01070,DILI_positive,vLess-DILI-concern,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C.Cl
Alpelisib,LT03621,DILI_positive,vLess-DILI-concern,CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F
Alpidem,LT01060,DILI_positive,vMost-DILI-concern,CCCN(CCC)C(=O)CC1=C(N=C2N1C=C(C=C2)Cl)C3=CC=C(C=C3)Cl
Alprazolam,LT00501,DILI_positive,vLess-DILI-concern,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
Amiloride hydrochloride,LT02070,DILI_positive,vLess-DILI-concern,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N.O.O.Cl
Amineptine,LT00045,DILI_positive,vMost-DILI-concern,C1CC2=CC=CC=C2C(C3=CC=CC=C31)NCCCCCCC(=O)O
Aminosalicylic acid ,LT00505,DILI_positive,vMOST-DILI-concern,C1=CC(=C(C=C1N)O)C(=O)O
Amiodarone hydrochloride,LT00046,DILI_positive,vMost-DILI-concern,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I.Cl
Amisulpride,LT01793,DILI_positive,vLess-DILI-concern,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC
Amitriptyline hydrochloride,LT00047,DILI_positive,vLess-DILI-concern,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl
Amlodipine besylate,LT00175,DILI_positive,vLess-DILI-concern,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN.C1=CC=C(C=C1)S(=O)(=O)O
Amoxicillin,LT00507,DILI_positive,vLess-DILI-concern,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C
Amphetamine sulfate,LT02100,DILI_positive,vLess-DILI-concern,CC(CC1=CC=CC=C1)N.CC(CC1=CC=CC=C1)N.OS(=O)(=O)O
Amphotericin B,LT00048,DILI_positive,vLess-DILI-concern,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O
Ampicillin sodium,LT00049,DILI_positive,vLess-DILI-concern,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)[O-])C.[Na+]
Anastrozole,LT00263,DILI_positive,vLess-DILI-concern,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
