metric,network_threshold,compound,n_targets,direction,observed_metric,null_mean,null_std,z_score,committed_p_value,extreme_count,p_empirical_r_over_n,p_empirical_plus_one,p_gaussian_tail
Shortest_Path,700,Hyperforin,10,less,0.6,1.5787,0.161976263693172,-6.0422433366775845,0.0009990009990009,0,0.0,0.0009990009990009,7.599300412850151e-10
Shortest_Path,700,Quercetin,62,less,1.3387096774193548,1.7067258064516129,0.0674446452796592,-5.45656556582482,0.0009990009990009,0,0.0,0.0009990009990009,2.427160398695165e-08
Shortest_Path,900,Hyperforin,10,less,1.3,2.208600000000001,0.2352998937526322,-3.8614552072649904,0.0009990009990009,0,0.0,0.0009990009990009,5.635683931719447e-05
Shortest_Path,900,Quercetin,62,less,1.6774193548387095,2.174903225806452,0.0914441653677953,-5.440301947826024,0.0009990009990009,0,0.0,0.0009990009990009,2.6595171048510036e-08
RWR,700,Hyperforin,10,greater,0.1211639397384623,0.0172894466301984,0.0094106982983312,11.037915552630544,0.0009990009990009,0,0.0,0.0009990009990009,1.2539168999893948e-28
RWR,700,Quercetin,62,greater,0.0326216272539358,0.0157208665630233,0.0030946585964265,5.461268235025414,0.0009990009990009,0,0.0,0.0009990009990009,2.3637256277869056e-08
RWR,900,Hyperforin,10,greater,0.1138097451680753,0.0140668623226144,0.0092650207135936,10.765532633846954,0.0009990009990009,0,0.0,0.0009990009990009,2.503558709917318e-27
RWR,900,Quercetin,62,greater,0.032171300082812,0.0148311797695358,0.0037861199858043,4.579918327546711,0.0009990009990009,0,0.0,0.0009990009990009,2.3257876784975957e-06
EWI,700,Hyperforin,10,greater,0.1448746814465393,0.0249608813696746,0.0115895575175722,10.346710812302364,0.0009990009990009,0,0.0,0.0009990009990009,2.1655523656816385e-25
EWI,700,Quercetin,62,greater,0.0511089338986101,0.0233643859272862,0.0039597591946916,7.006625051472237,0.0009990009990009,0,0.0,0.0009990009990009,1.2206768072130347e-12
EWI,900,Hyperforin,10,greater,0.1329740928873287,0.0196361955722527,0.0122165828284692,9.277381319017955,0.0009990009990009,0,0.0,0.0009990009990009,8.684745854070054e-21
EWI,900,Quercetin,62,greater,0.0493442089661472,0.0209650913377981,0.0049444406458177,5.739601233226167,0.0009990009990009,0,0.0,0.0009990009990009,4.744987078880314e-09
