# UniProt ID to Gene Name Mapping
# Generated for Hyperforin and Quercetin targets
# Format: UniProt_ID,Gene_Name

O75469,NR1I2
Q9Y210,TRPC6
P08684,CYP3A4
P11712,CYP2C9
P20813,CYP2B6
P08183,ABCB1
Q9UNQ0,ABCG2
P31749,AKT1
P08253,MMP2
P14780,MMP9
P15692,VEGFA
Q13794,PMAIP1
Q12879,GRIN1
O15440,ABCC2
O43570,CAV2
Q72547,UGT1A8
Q91WR5,Ugt1a8
P0AES6,GyrA
Q9NPH5,SLC23A1
O60341,KDR
P04191,LDLR
Q96GD4,AURKB
Q965D5,Ugt1a7
P23280,CA6
P0DTD1,NSP5
P16050,ADRB2
P07943,ALDH2
P10481,NANA
P15121,AKR1B1
Q9UHH9,SYK
P00918,CA2
Q8N6T7,SIRT6
P05177,CYP1A2
P06493,CDK1
P11309,PIM1
P53350,PLK1
O60285,NUAK1
P80457,IL18BP1
P04798,CYP1A1
P08254,MMP3
P08581,MET
P00811,ADA
Q9UL62,CFB
P0C6X7,CHRNA4
P21398,ADORA1
O96394,PRMT7
P00533,EGFR
P49841,GSK3B
P17988,SLC5A2
P06239,LCK
Q9UBN7,HDAC6
P22303,ACHE
P11388,FN1
O94956,SLC22A6
Q965D7,Ugt1a6
P21917,DRD4
P25099,FSTL1
P27986,PIK3R1
P12530,SERPINA5
P12527,CDK7
P35968,PDE6D
P06737,PYGL
P21397,MAOA
Q16678,CYP1B1
P80025,CTSH
P68400,CSNK2A1
Q9D6N1,Rrm2
P33527,ABCC1
P51635,AKR1C2
P15056,BRAF
P30543,SLC6A2
P03468,HPV16E6
P37059,ESRRA
P22748,CA4
P05164,MPO
P05067,APP
Q15717,ELOVL1
P07451,CA3
P08069,IGF1R
P49840,GSK3A
P53355,DAPK1
Q16790,CA9
P04054,PPIA
P56817,BACE1
P12931,SRC
Q05397,PTK2
Q9HC97,KCNQ2
P10584,CHRNA1
P07947,YES1
B4URF0,PDZK1IP1
P36888,FLT3
Q7ZJM1,TRPM2
Q63344,Insr
P47989,XDH
P30530,AXL
Q14576,IQGAP1
P00760,ANPEP
P43166,CA7
Q16512,PKN1
Q9NYA1,TLR4
P30518,ADRB3
P00915,CA1
P09917,ALOX5
P04760,GLA
Q965D6,Ugt1a9
Q9ULX7,UBE2C
P35222,CTNNB1
P10632,PTPN2
P11511,CYP19A1
